ID,traffic_volume
0,4748.0107
1,4932.7
2,4851.064
3,5144.389
4,352.11523
5,5825.4106
6,275.9654
7,5251.7627
8,6083.2603
9,2885.1006
10,667.4091
11,423.4656
12,5500.569
13,5664.006
14,5753.576
15,3231.677
16,4759.1123
17,385.20245
18,333.8842
19,5719.8394
20,6432.6553
21,4465.168
22,4152.8857
23,2079.8354
24,354.17993
25,5398.5654
26,5231.52
27,3361.493
28,1862.222
29,361.64658
30,5758.524
31,6430.7256
32,5432.9917
33,4861.1094
34,3441.2112
35,1836.4067
36,796.54974
37,4649.1953
38,2165.244
39,1174.9451
40,449.97882
41,912.42975
42,3451.78
43,2613.7957
44,870.9888
45,321.1347
46,1059.0686
47,1807.4045
48,2730.533
49,3763.8787
50,4308.187
51,4308.187
52,4312.982
53,4312.982
54,4404.8936
55,4489.8447
56,618.0069
57,837.03503
58,5191.866
59,6391.954
60,4422.3037
61,3347.1702
62,2187.815
63,335.26715
64,335.59872
65,879.4678
66,5805.36
67,3547.5408
68,999.423
69,394.0456
70,912.4195
71,3005.7737
72,6212.463
73,4732.882
74,380.31592
75,289.34857
76,345.29428
77,5220.287
78,6400.871
79,2246.3713
80,369.62964
81,2569.6624
82,5360.6475
83,5684.003
84,4781.0005
85,2673.7825
86,2673.7825
87,2033.3284
88,586.26074
89,404.81976
90,1238.8887
91,2765.932
92,3576.6274
93,4407.328
94,1383.0282
95,4038.3716
96,1954.7677
97,1618.934
98,283.57846
99,5102.1177
100,553.94806
101,367.08746
102,5736.7285
103,5155.711
104,4535.437
105,391.49643
106,2904.644
107,5672.1
108,5672.1
109,5703.0938
110,5273.172
111,4879.738
112,4864.824
113,4864.824
114,6405.9434
115,4682.5903
116,2854.0757
117,1787.8484
118,2878.4072
119,4605.1436
120,5406.8174
121,5406.8174
122,5801.1416
123,6451.0615
124,5002.672
125,655.7242
126,410.13684
127,338.71054
128,737.3644
129,2546.6328
130,5650.8867
131,5125.962
132,5125.962
133,5068.6777
134,5068.6777
135,761.9404
136,4808.4907
137,4773.0854
138,4356.0015
139,735.90265
140,512.41583
141,3649.8804
142,4520.3823
143,855.958
144,5920.6157
145,6279.6465
146,3016.6995
147,2427.352
148,2119.4258
149,575.4373
150,338.51178
151,6249.3833
152,339.14536
153,5991.6636
154,4886.4497
155,1717.9832
156,1040.2955
157,376.24805
158,399.0254
159,6018.598
160,5447.061
161,5178.0547
162,5258.666
163,2509.067
164,326.04688
165,356.57025
166,6249.245
167,5613.1514
168,5022.8003
169,5347.1196
170,5817.331
171,2939.0608
172,2838.8457
173,481.19397
174,1399.9028
175,4765.718
176,4616.9795
177,2803.1165
178,2839.1484
179,3223.0332
180,2059.5923
181,1199.8954
182,719.531
183,477.56317
184,3730.215
185,4338.623
186,4484.2935
187,2745.851
188,4595.3125
189,5132.2095
190,6257.331
191,4243.984
